ensembl_gene_id	gene_biotype	external_gene_name
ENSMFAG00000046582	lincRNA	
ENSMFAG00000046625	lincRNA	
ENSMFAG00000046649	lincRNA	
ENSMFAG00000046669	lincRNA	
ENSMFAG00000046789	lincRNA	
ENSMFAG00000046846	lincRNA	
ENSMFAG00000046919	lincRNA	
ENSMFAG00000047086	lincRNA	
ENSMFAG00000047108	lincRNA	
ENSMFAG00000000103	protein_coding	CFAP126
ENSMFAG00000000107	protein_coding	PSEN2
ENSMFAG00000000121	protein_coding	KCNH1
ENSMFAG00000000167	protein_coding	PPFIA4
ENSMFAG00000000231	protein_coding	TIMM17A
ENSMFAG00000000296	protein_coding	
ENSMFAG00000000324	protein_coding	CR1L
ENSMFAG00000000345	protein_coding	IARS2
ENSMFAG00000000352	protein_coding	EPHX1
ENSMFAG00000000375	protein_coding	ADAMTS4
ENSMFAG00000000410	protein_coding	BROX
ENSMFAG00000000464	protein_coding	RCOR3
ENSMFAG00000000571	protein_coding	ETNK2
ENSMFAG00000000604	protein_coding	FBXO28
ENSMFAG00000000617	protein_coding	GPATCH2
ENSMFAG00000000639	protein_coding	GJC2
ENSMFAG00000000704	protein_coding	IGSF9
ENSMFAG00000000715	protein_coding	ARHGAP30
ENSMFAG00000000767	protein_coding	ARL8A
ENSMFAG00000000828	protein_coding	BCAN
ENSMFAG00000000852	protein_coding	CYB5R1
ENSMFAG00000000883	protein_coding	PYHIN1
ENSMFAG00000000945	protein_coding	FCAMR
ENSMFAG00000000992	protein_coding	REN
ENSMFAG00000001051	protein_coding	LPGAT1
ENSMFAG00000001110	protein_coding	LIN9
ENSMFAG00000001190	protein_coding	SNAP47
ENSMFAG00000001230	pseudogene	
ENSMFAG00000001353	protein_coding	UTP25
ENSMFAG00000001580	protein_coding	PTPN14
ENSMFAG00000001609	protein_coding	ETV3
ENSMFAG00000001716	protein_coding	TRIM17
ENSMFAG00000001759	protein_coding	MPZ
ENSMFAG00000001856	protein_coding	FCRL5
ENSMFAG00000001858	protein_coding	SH2D2A
ENSMFAG00000001949	protein_coding	
ENSMFAG00000001997	protein_coding	RNPEP
ENSMFAG00000002094	protein_coding	MIA3
ENSMFAG00000002217	protein_coding	AIDA
ENSMFAG00000002258	protein_coding	
ENSMFAG00000002400	protein_coding	
ENSMFAG00000002417	protein_coding	TGFB2
ENSMFAG00000002470	protein_coding	IBA57
ENSMFAG00000002500	protein_coding	HLX
